city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Lima,-12.0500,-77.0333,Peru,PE,Lima,primary,9848000,8894000
Callao,-12.0611,-77.1333,Peru,PE,Callao,admin,1129854,1129854
Arequipa,-16.3988,-71.5369,Peru,PE,Arequipa,admin,1008290,1008290
Trujillo,-8.1119,-79.0289,Peru,PE,La Libertad,admin,919899,919899
Chiclayo,-6.7630,-79.8366,Peru,PE,Lambayeque,admin,552508,552508
Chimbote,-9.0745,-78.5936,Peru,PE,Ancash,,497875,497875
Piura,-5.2008,-80.6253,Peru,PE,Piura,admin,473025,473025
Cusco,-13.5183,-71.9781,Peru,PE,Cusco,admin,428450,428450
Huancayo,-12.0667,-75.2167,Peru,PE,Junin,admin,378203,378203
Iquitos,-3.7333,-73.2500,Peru,PE,Loreto,admin,377609,377609
Pucallpa,-8.3833,-74.5500,Peru,PE,Ucayali,admin,326040,326040
Juliaca,-15.4908,-70.1269,Peru,PE,Puno,,291189,291189
Tacna,-18.0556,-70.2483,Peru,PE,Tacna,admin,286240,286240
Ica,-14.0667,-75.7333,Peru,PE,Ica,admin,282407,282407
Tarapoto,-6.4833,-76.3667,Peru,PE,San Martin,,240453,240453
Cajamarca,-7.1644,-78.5106,Peru,PE,Cajamarca,admin,201329,201329
Huacho,-11.1083,-77.6083,Peru,PE,Lima,admin,200585,200585
Huanuco,-9.9294,-76.2397,Peru,PE,Huanuco,admin,196627,196627
Ayacucho,-13.1631,-74.2244,Peru,PE,Ayacucho,admin,180766,180766
Paita,-5.0667,-81.1000,Peru,PE,Piura,,179346,179346
Sullana,-4.9039,-80.6853,Peru,PE,Piura,,162434,162434
Huaycan,-12.0139,-76.8250,Peru,PE,Lima,,160000,160000
Barranca,-10.7539,-77.7610,Peru,PE,Lima,,144381,144381
Puno,-15.8433,-70.0236,Peru,PE,Puno,admin,128637,128637
Huaraz,-9.5333,-77.5333,Peru,PE,Ancash,admin,118836,118836
Pisco,-13.7100,-76.2032,Peru,PE,Ica,,109965,109965
Talara,-4.5833,-81.2667,Peru,PE,Piura,,103200,103200
Tumbes,-3.5667,-80.4500,Peru,PE,Tumbes,admin,96946,96946
